sku,name,category_slug,product_url,image_url,image_filename,row_id,cluster_id,pca_x,pca_y,surface_type,material_group,cluster_size
101156321,Coral Bay Porcelain Matte Tile,/24-x-48-tile-2,https://www.flooranddecor.com/porcelain-tile/coral-bay-porcelain-matte-tile-101156321.html,https://i8.amplience.net/i/flooranddecor/101156321_coral-bay-porcelain-matte-tile_display?fmt=auto&qlt=85,101156321.jpg,0.0,32,0.10810153,-0.15959114,tile,other,65
100434463,Ozark Pecan Wood Plank Porcelain Tile,/50-percent-more-slip-resistant-tile,https://www.flooranddecor.com/porcelain-tile/ozark-pecan-wood-plank-porcelain-tile-100434463.html,https://i8.amplience.net/i/flooranddecor/100434463_ozark-pecan-wood-plank-porcelain-tile_display?fmt=auto&qlt=85,100434463.jpg,1.0,27,0.06565142,-0.2400204,tile,other,77
100905462,Aster Porcelain Tile,/accent-wall-tile,https://www.flooranddecor.com/porcelain-tile/aster-porcelain-tile-100905462.html,https://i8.amplience.net/i/flooranddecor/100905462_aster-porcelain-tile_display?fmt=auto&qlt=85,100905462.jpg,2.0,13,0.12388281,-0.15154974,tile,other,49
101000461,Leathered Denim Porcelain Tile,/blue-decoratives,https://www.flooranddecor.com/porcelain-ceramic-decoratives/leathered-denim-porcelain-tile-101000461.html,https://i8.amplience.net/i/flooranddecor/101000461_leathered-denim-porcelain-tile_display?fmt=auto&qlt=85,101000461.jpg,10.0,36,0.10543744,-0.17799921,deco,other,33
101000446,Leathered Saddle Porcelain Tile,/clearance-decoratives,https://www.flooranddecor.com/porcelain-tile/leathered-saddle-porcelain-tile-101000446.html,https://i8.amplience.net/i/flooranddecor/101000446_leathered-saddle-porcelain-tile_display?fmt=auto&qlt=85,101000446.jpg,146.0,36,0.06180116,-0.19370423,deco,other,33
101129542,Talulla Hot Glass Tile,/clearance-decoratives,https://www.flooranddecor.com/glass-decoratives/talulla-hot-glass-tile-101129542.html,https://i8.amplience.net/i/flooranddecor/101129542_talulla-hot-glass-tile_display?fmt=auto&qlt=85,101129542.jpg,147.0,22,0.19667406,-0.061850872,deco,other,58
101130201,Sample- Iberia Quartz Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/granite-stone/sample--iberia-quartz-custom-countertop-101130201.html,https://i8.amplience.net/i/flooranddecor/101130201_sample--iberia-quartz-custom-countertop_1?fmt=auto&qlt=85,101130201.jpg,156.0,29,0.15056589,-0.0023866745,stone,other,29
101178010,Sample- Carrara Trinita Quartz Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/granite-stone/sample--carrara-trinita-quartz-custom-countertop-101178010.html,https://i8.amplience.net/i/flooranddecor/101178010_sample--carrara-trinita-quartz-custom-countertop_1?fmt=auto&qlt=85,101178010.jpg,157.0,21,0.13967024,0.121340334,stone,other,40
101239499,Sample - Calacatta Surrey Quartz Tech Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/granite-stone/sample---calacatta-surrey-quartz-tech-custom-countertop-101239499.html,https://i8.amplience.net/i/flooranddecor/101239499_sample---calacatta-surrey-quartz-tech-custom-countertop_1?fmt=auto&qlt=85,101239499.jpg,158.0,38,0.089935854,-0.0023840193,stone,other,64
101155299,Sample- Taj Crema Quartz Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/countertops-stone-custom/sample--taj-crema-quartz-custom-countertop-101155299.html,https://i8.amplience.net/i/flooranddecor/101155299_sample--taj-crema-quartz-custom-countertop_1?fmt=auto&qlt=85,101155299.jpg,159.0,38,0.18345493,-0.15722696,stone,other,64
101005668,Sample - Fantasy Wave Marble Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/marble-stone/sample---fantasy-wave-marble-custom-countertop-101005668.html,https://i8.amplience.net/i/flooranddecor/101005668_sample---fantasy-wave-marble-custom-countertop_1?fmt=auto&qlt=85,101005668.jpg,160.0,38,0.16197993,-0.1346198,stone,other,64
101239481,Sample - Calacatta Malta Quartz Tech Custom Countertop,/countertops-stone-custom,https://www.flooranddecor.com/granite-stone/sample---calacatta-malta-quartz-tech-custom-countertop-101239481.html,https://i8.amplience.net/i/flooranddecor/101239481_sample---calacatta-malta-quartz-tech-custom-countertop_1?fmt=auto&qlt=85,101239481.jpg,161.0,4,0.08814278,0.101334274,stone,other,42
